indicator_code,2014,2017,2021,2023,2024,2025
acc_4g_cov,0,0,0,1,0,1
acc_fayda,0,0,0,0,1,2
acc_mm_account,0,0,1,0,1,0
acc_mobile_pen,0,0,0,0,0,1
acc_ownership,1,1,3,0,1,0
aff_data_income,0,0,0,0,1,0
gen_gap_acc,0,0,1,0,1,0
gen_gap_mobile,0,0,0,0,1,0
gen_mm_share,0,0,0,0,1,0
usg_active_rate,0,0,0,0,1,0
usg_atm_count,0,0,0,0,0,1
usg_atm_value,0,0,0,0,0,1
usg_crossover,0,0,0,0,0,1
usg_mpesa_active,0,0,0,0,1,0
usg_mpesa_users,0,0,0,0,1,0
usg_p2p_count,0,0,0,0,1,1
usg_p2p_value,0,0,0,0,0,1
usg_telebirr_users,0,0,0,0,0,1
usg_telebirr_value,0,0,0,0,0,1
